                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.55446,                0.44807,                0.38743,                 0.4557,                0.98059,                      1,                0.99949,                  0.995,                0.91761,                0.99863,                 0.9878,                0.98913,                0.96159,                0.44976,                0.23345,                0.18119,                0.29201,                0.91775,              0.0004952,              0.0004952,              0.0004952
                     40,                0.41452,                 0.2622,                0.25835,                0.36237,                0.91817,                0.97619,                0.99999,                0.99464,                0.91092,                0.98761,                 0.9878,                0.99308,                0.96256,                0.44631,                0.23726,                0.17084,                0.28579,                0.91027,              0.0004556,              0.0004556,              0.0004556
                     41,                0.38731,                0.27508,                0.20075,                0.31849,                0.89925,                0.97617,                0.99916,                0.99366,                0.92012,                0.97617,                0.99916,                 0.9944,                0.95643,                0.43175,                0.25318,                0.13941,                0.29349,                0.90078,               0.000416,               0.000416,               0.000416
                     42,                0.35502,                0.23585,                0.18727,                0.29041,                0.87486,                 0.9639,                      1,                0.99368,                0.92417,                 0.9639,                      1,                0.99417,                0.96335,                0.40556,                0.22582,                0.13316,                0.31003,                0.88492,              0.0003764,              0.0003764,              0.0003764
                     43,                0.37055,                0.22747,                0.18619,                 0.2868,                0.88804,                0.98794,                 0.9988,                0.99428,                0.93157,                0.98794,                 0.9988,                0.99476,                0.97174,                 0.3775,                0.22562,                0.13693,                0.28717,                0.87944,              0.0003368,              0.0003368,              0.0003368
                     44,                0.36254,                0.22159,                0.20195,                0.27984,                0.88032,                0.98685,                 0.9878,                0.99415,                0.93091,                0.98685,                 0.9878,                0.99464,                 0.9758,                0.37696,                0.23401,                0.13312,                0.28746,                0.88315,              0.0002972,              0.0002972,              0.0002972
                     45,                0.33708,                0.19858,                0.18767,                0.26474,                0.86365,                0.97619,                0.99984,                0.99452,                0.94789,                0.97619,                0.99984,                0.99452,                  0.977,                0.35962,                 0.2061,                0.12356,                0.26495,                0.87038,              0.0002576,              0.0002576,              0.0002576
                     46,                0.31787,                0.16692,                0.17476,                0.25565,                0.86582,                0.98689,                      1,                0.99476,                0.95582,                0.98689,                      1,                0.99476,                  0.972,                0.34316,                0.18609,                0.11841,                0.25944,                0.86331,               0.000218,               0.000218,               0.000218
                     47,                0.32146,                0.18982,                0.21819,                0.26597,                0.85636,                0.98647,                      1,                0.99488,                 0.9524,                0.98647,                      1,                0.99488,                0.97351,                0.34499,                0.16372,                 0.1168,                0.24458,                0.86442,              0.0001784,              0.0001784,              0.0001784
                     48,                0.31952,                0.16915,                0.20418,                0.25048,                0.86617,                 0.9994,                      1,                  0.995,                  0.953,                 0.9994,                      1,                  0.995,                0.97574,                0.34465,                0.15718,                0.11448,                0.23636,                0.86571,              0.0001388,              0.0001388,              0.0001388
                     49,                0.29602,                0.15729,                0.17223,                0.24704,                0.85878,                0.99943,                      1,                  0.995,                0.95921,                0.99943,                      1,                  0.995,                 0.9775,                0.34669,                0.15562,                0.10865,                0.23063,                0.86856,               9.92e-05,               9.92e-05,               9.92e-05
